passenger_count|pickup_year|distance|the_count
INT|INT|INT|LONG
1|2010|1|38818356
1|2010|0|27237649
1|2010|2|19930550
1|2010|3|10103973
2|2010|1|8844918
2|2010|0|5612057
1|2010|4|5495131
5|2010|1|4729704
2|2010|2|4713844
1|2010|5|3385109
5|2010|0|3173146
3|2010|1|2593424
2|2010|3|2516836
5|2010|2|2466510
1|2010|6|2147117
3|2010|0|1616481
1|2010|7|1449738
2|2010|4|1392448
3|2010|2|1369690
1|2010|8|1284848
5|2010|3|1274896
1|2010|9|1269421
4|2010|1|1265914
1|2010|10|1062150
2|2010|5|856240
4|2010|0|760565
1|2010|11|733272
3|2010|3|730512
5|2010|4|698967
4|2010|2|680057
2|2010|6|524793
1|2010|17|460279
1|2010|12|457712
5|2010|5|433266
3|2010|4|398668
4|2010|3|368852
2|2010|7|346774
1|2010|18|345811
2|2010|9|326703
2|2010|8|315602
1|2010|16|315418
2|2010|10|288073
1|2010|13|276073
5|2010|6|273493
3|2010|5|251116
6|2010|1|232840
1|2010|19|218261
1|2010|14|209943
2|2010|11|206197
1|2010|15|204681
4|2010|4|197248
5|2010|7|183019
5|2010|9|163657
5|2010|8|163531
2|2010|17|160604
6|2010|0|159794
3|2010|6|152582
1|2010|20|147596
5|2010|10|140686
4|2010|5|128228
2|2010|12|120459
6|2010|2|119564
2|2010|18|113598
5|2010|11|99868
2|2010|16|98971
3|2010|7|96724
1|2010|21|93605
3|2010|9|81515
3|2010|8|81433
4|2010|6|77471
5|2010|17|73960
2|2010|13|71841
3|2010|10|70845
2|2010|19|64379
6|2010|3|61599
5|2010|12|61190
2|2010|15|55758
5|2010|18|55209
2|2010|14|54384
3|2010|11|53946
4|2010|7|46319
5|2010|16|46000
2|2010|20|44505
1|2010|22|41507
3|2010|17|40493
4|2010|9|38198
4|2010|8|37357
5|2010|13|36421
4|2010|10|33433
6|2010|4|33336
5|2010|19|32837
3|2010|12|31815
2|2010|21|29089
5|2010|14|28544
5|2010|15|28500
3|2010|18|28412
4|2010|11|26523
3|2010|16|23646
4|2010|17|22395
5|2010|20|22250
1|2010|23|21032
6|2010|5|20577
3|2010|13|18851
0|2010|0|16987
4|2010|12|15360
3|2010|19|15320
4|2010|18|15238
3|2010|14|14317
5|2010|21|14273
3|2010|15|13686
1|2010|24|13180
6|2010|6|12863
2|2010|22|12816
4|2010|16|12686
3|2010|20|10703
0|2010|1|10264
1|2010|25|9386
4|2010|13|8917
6|2010|7|8568
1|2010|26|7960
6|2010|8|7584
4|2010|19|7564
6|2010|9|7499
3|2010|21|7125
4|2010|15|6885
4|2010|14|6738
6|2010|10|6463
5|2010|22|6430
1|2010|27|6301
2|2010|23|5838
4|2010|20|5446
1|2010|28|5360
6|2010|11|4498
0|2010|2|3858
4|2010|21|3689
2|2010|24|3574
1|2010|29|3484
3|2010|22|3227
5|2010|23|2999
6|2010|12|2647
6|2010|17|2552
1|2010|30|2540
2|2010|25|2435
1|2010|31|2174
2|2010|26|2002
1|2010|32|1936
5|2010|24|1820
6|2010|18|1817
0|2010|3|1797
4|2010|22|1789
6|2010|16|1649
3|2010|23|1630
1|2010|33|1598
1|2010|34|1592
2|2010|27|1551
6|2010|13|1538
2|2010|28|1389
1|2010|35|1387
1|2010|36|1260
5|2010|25|1248
6|2010|14|1169
6|2010|19|1100
6|2010|15|1058
5|2010|26|1033
1|2010|37|972
3|2010|24|914
2|2010|29|854
0|2010|4|831
5|2010|27|798
6|2010|20|795
4|2010|23|785
1|2010|38|752
5|2010|28|675
3|2010|25|651
0|2010|5|643
1|2010|39|637
208|2010|0|599
2|2010|30|592
1|2010|40|588
3|2010|26|526
1|2010|41|508
6|2010|21|496
2|2010|31|496
4|2010|24|485
2|2010|32|455
5|2010|29|446
0|2010|6|418
3|2010|27|416
1|2010|42|415
2|2010|33|389
2|2010|34|370
1|2010|43|368
4|2010|25|365
2|2010|35|345
3|2010|28|341
2|2010|36|333
4|2010|26|318
1|2010|44|318
5|2010|30|289
1|2010|45|279
1|2010|47|273
3|2010|29|254
2|2010|37|245
5|2010|31|240
1|2010|46|238
6|2010|22|220
4|2010|27|219
4|2010|28|219
5|2010|32|218
1|2010|48|208
0|2010|7|207
1|2010|49|207
5|2010|34|201
2|2010|38|197
3|2010|30|179
5|2010|33|175
5|2010|35|162
1|2010|50|156
5|2010|36|152
2|2010|39|150
4|2010|29|141
2|2010|40|132
3|2010|32|120
3|2010|31|119
0|2010|11|118
3|2010|34|117
1|2010|51|114
0|2010|10|109
0|2010|8|108
2|2010|41|106
6|2010|23|105
4|2010|30|103
1|2010|52|101
0|2010|9|100
3|2010|33|95
3|2010|36|95
3|2010|35|95
5|2010|37|89
2|2010|43|86
1|2010|53|84
2|2010|42|83
1|2010|54|81
4|2010|31|80
5|2010|38|77
4|2010|32|76
5|2010|39|73
1|2010|55|70
1|2010|56|67
4|2010|34|67
4|2010|35|64
3|2010|38|63
4|2010|33|61
1|2010|58|60
1|2010|57|60
6|2010|24|60
1|2010|60|58
0|2010|12|58
3|2010|37|55
1|2010|59|50
1|2010|63|48
6|2010|26|47
2|2010|45|47
2|2010|44|47
6|2010|25|46
1|2010|61|46
4|2010|37|45
5|2010|40|45
5|2010|41|44
2|2010|48|44
4|2010|36|43
2|2010|46|43
5|2010|42|42
1|2010|80|42
3|2010|40|41
3|2010|39|41
1|2010|64|39
2|2010|49|38
1|2010|62|38
5|2010|43|37
1|2010|65|37
2|2010|47|35
1|2010|70|35
1|2010|100|34
1|2010|68|33
1|2010|66|33
1|2010|202|33
4|2010|39|32
1|2010|500|31
6|2010|28|30
0|2010|13|30
1|2010|67|29
1|2010|69|29
1|2010|73|28
3|2010|41|28
4|2010|38|27
1|2010|75|26
1|2010|81|26
5|2010|44|26
4|2010|40|25
1|2010|79|24
1|2010|92|24
1|2010|88|24
6|2010|27|24
1|2010|86|23
1|2010|74|23
1|2010|82|23
1|2010|71|23
1|2010|173|22
3|2010|42|21
1|2010|72|20
1|2010|172|20
0|2010|14|20
1|2010|169|20
1|2010|177|19
1|2010|83|18
3|2010|44|18
1|2010|76|18
5|2010|45|18
3|2010|43|18
0|2010|15|17
4|2010|41|17
2|2010|53|17
1|2010|176|17
1|2010|415|16
1|2010|174|16
1|2010|167|16
1|2010|85|16
1|2010|84|16
1|2010|89|16
2|2010|50|16
1|2010|87|16
1|2010|180|16
1|2010|175|16
1|2010|170|16
1|2010|96|15
4|2010|44|15
1|2010|90|15
1|2010|168|14
1|2010|166|14
1|2010|91|14
3|2010|47|14
3|2010|45|14
5|2010|46|14
1|2010|171|14
2|2010|51|13
1|2010|165|13
1|2010|179|13
1|2010|94|13
1|2010|756|13
0|2010|16|13
2|2010|52|12
6|2010|29|12
6|2010|31|12
4|2010|48|12
2|2010|55|12
5|2010|49|12
4|2010|46|12
1|2010|159|11
2|2010|56|11
4|2010|43|11
1|2010|182|11
1|2010|98|11
1|2010|77|11
1|2010|78|11
1|2010|178|11
5|2010|47|10
6|2010|33|10
2|2010|174|10
5|2010|48|10
3|2010|50|10
0|2010|17|10
1|2010|102|10
1|2010|181|10
1|2010|106|9
2|2010|69|9
1|2010|93|9
1|2010|183|9
2|2010|59|9
4|2010|50|8
2|2010|88|8
0|2010|19|8
1|2010|3008331|8
0|2010|20|8
1|2010|164|8
1|2010|146|8
1|2010|97|8
2|2010|58|8
1|2010|149|8
1|2010|189|8
4|2010|45|8
1|2010|192|8
4|2010|49|8
3|2010|46|8
1|2010|113|8
1|2010|95|8
1|2010|185|8
3|2010|48|8
2|2010|177|7
2|2010|175|7
1|2010|156|7
1|2010|300|7
1|2010|101|7
2|2010|60|7
6|2010|30|7
1|2010|160|7
1|2010|148|7
1|2010|184|7
1|2010|155|7
1|2010|200|7
2|2010|57|7
2|2010|54|7
4|2010|42|7
1|2010|186|7
2|2010|80|7
1|2010|210|7
1|2010|147|7
3|2010|54|6
1|2010|3008|6
1|2010|163|6
1|2010|800|6
1|2010|191|6
1|2010|161|6
1|2010|162|6
1|2010|158|6
2|2010|162|6
6|2010|32|6
3|2010|51|6
6|2010|36|6
2|2010|169|6
1|2010|139|6
1|2010|152|6
3|2010|57|6
1|2010|204|6
1|2010|194|6
1|2010|801|6
1|2010|190|6
1|2010|501|6
1|2010|111|6
2|2010|165|6
1|2010|145|6
2|2010|168|6
1|2010|199|5
1|2010|196|5
1|2010|107|5
1|2010|151|5
1|2010|206|5
2|2010|167|5
1|2010|99|5
2|2010|67|5
1|2010|130|5
4|2010|47|5
5|2010|51|5
1|2010|150|5
1|2010|112|5
6|2010|43|5
2|2010|66|5
1|2010|131|5
0|2010|21|5
1|2010|140|5
1|2010|136|5
2|2010|500|5
2|2010|83|5
5|2010|52|5
2|2010|182|5
1|2010|222|4
5|2010|54|4
1|2010|8331800|4
5|2010|50|4
1|2010|188|4
1|2010|208|4
1|2010|216|4
1|2010|503|4
1|2010|157|4
2|2010|172|4
2|2010|180|4
1|2010|187|4
1|2010|141|4
1|2010|105|4
2|2010|82|4
1|2010|215|4
1|2010|110|4
1|2010|116|4
6|2010|35|4
2|2010|61|4
1|2010|143|4
2|2010|171|4
2|2010|206|4
2|2010|75|4
1|2010|103|4
1|2010|197|4
5|2010|53|4
1|2010|201|4
1|2010|203|3
2|2010|185|3
0|2010|23|3
1|2010|11800000|3
1|2010|220|3
6|2010|39|3
0|2010|26|3
2|2010|150|3
2|2010|92|3
2|2010|173|3
2|2010|176|3
2|2010|85|3
1|2010|108|3
3|2010|174|3
1|2010|5000000|3
1|2010|401|3
2|2010|68|3
2|2010|73|3
2|2010|178|3
2|2010|100|3
1|2010|209|3
4|2010|77|3
1|2010|153|3
1|2010|134|3
1|2010|30083|3
1|2010|262|3
1|2010|400|3
1|2010|1000000|3
1|2010|244|3
1|2010|154|3
1|2010|219|3
1|2010|205|3
2|2010|102|3
1|2010|3180000|3
2|2010|63|3
6|2010|46|3
1|2010|252|3
2|2010|183|3
1|2010|118|3
1|2010|2840|3
1|2010|126|3
3|2010|173|3
3|2010|59|3
0|2010|18|3
1|2010|309|3
1|2010|133|3
1|2010|725|3
1|2010|207|3
1|2010|600|3
1|2010|114|3
2|2010|84|3
2|2010|153|3
10|2010|0|3
2|2010|90|3
2|2010|64|3
1|2010|802|3
1|2010|138|3
6|2010|37|3
2|2010|71|3
1|2010|803|3
1|2010|119|3
1|2010|198|3
6|2010|34|3
2|2010|62|3
2|2010|89|3
1|2010|104|3
1|2010|290|2
4|2010|59|2
1|2010|290000|2
2|2010|87|2
2|2010|203|2
5|2010|57|2
2|2010|95|2
2|2010|78|2
1|2010|125|2
3|2010|172|2
3|2010|81|2
1|2010|402|2
3|2010|55|2
3|2010|49|2
1|2010|2840000|2
3|2010|89|2
5|2010|59|2
1|2010|142|2
2|2010|118|2
2|2010|91|2
3|2010|150|2
1|2010|132|2
3|2010|170|2
2|2010|76|2
2|2010|273|2
2|2010|187|2
2|2010|195|2
1|2010|225|2
2|2010|191|2
1|2010|505|2
0|2010|37|2
2|2010|111|2
2|2010|158|2
3|2010|56|2
3|2010|167|2
3|2010|182|2
1|2010|263|2
4|2010|52|2
3|2010|161|2
1|2010|214|2
1|2010|137|2
0|2010|36|2
1|2010|7000000|2
1|2010|324|2
1|2010|601|2
3|2010|68|2
1|2010|337|2
1|2010|193|2
4|2010|54|2
2|2010|81|2
1|2010|124|2
1|2010|502|2
1|2010|242|2
1|2010|232|2
1|2010|500000|2
1|2010|81000|2
2|2010|79|2
3|2010|300|2
4|2010|166|2
3|2010|52|2
1|2010|8335700|2
0|2010|22|2
2|2010|300|2
3|2010|100|2
2|2010|800|2
5|2010|61|2
1|2010|129|2
2|2010|218|2
5|2010|67|2
3|2010|86|2
4|2010|66|2
1|2010|45000|2
2|2010|188|2
5|2010|55|2
2|2010|208|2
0|2010|24|2
1|2010|135|2
2|2010|136|2
4|2010|80|2
2|2010|3300000|2
1|2010|279|2
4|2010|58|2
2|2010|146|2
2|2010|77|2
1|2010|604|2
2|2010|207|2
1|2010|302|2
1|2010|3318000|2
2|2010|401|2
3|2010|60|2
5|2010|58|2
1|2010|511|2
2|2010|186|2
2|2010|99|2
7|2010|1|2
1|2010|249|2
3|2010|58|2
1|2010|144|2
1|2010|115|2
3|2010|67|2
4|2010|70|2
255|2010|2|2
4|2010|92|2
1|2010|10000|2
2|2010|142|2
4|2010|82|2
1|2010|275|2
1|2010|100000|2
1|2010|405|2
1|2010|292|2
4|2010|180|2
1|2010|404|2
208|2010|6|2
1|2010|7996|1
3|2010|186|1
91|2010|9|1
1|2010|506|1
1|2010|930000|1
3|2010|96|1
1|2010|341|1
3|2010|333|1
3|2010|10083357|1
4|2010|56|1
1|2010|1026750|1
4|2010|62|1
1|2010|4500000|1
1|2010|332|1
250|2010|3|1
1|2010|368|1
1|2010|339|1
1|2010|535|1
0|2010|28|1
1|2010|158501|1
1|2010|663|1
2|2010|105|1
2|2010|97|1
3|2010|500|1
1|2010|709|1
3|2010|1674186|1
9|2010|0|1
1|2010|1500000|1
4|2010|81|1
3|2010|400|1
1|2010|9025000|1
1|2010|8008|1
2|2010|2655000|1
1|2010|260050|1
2|2010|300833|1
1|2010|18876|1
1|2010|146805|1
6|2010|42|1
3|2010|83|1
3|2010|166|1
6|2010|60|1
1|2010|425|1
3|2010|136|1
1|2010|1674581|1
5|2010|100|1
4|2010|72|1
2|2010|138|1
5|2010|56|1
4|2010|90|1
1|2010|248|1
2|2010|145|1
3|2010|190|1
1|2010|10083318|1
141|2010|3|1
1|2010|240|1
2|2010|4241|1
2|2010|900000|1
6|2010|49|1
160|2010|1|1
2|2010|101|1
5|2010|-21474834|1
1|2010|303|1
5|2010|62|1
4|2010|83|1
2|2010|502|1
1|2010|9620100|1
1|2010|6900|1
1|2010|497577|1
208|2010|5|1
2|2010|225|1
3|2010|490|1
3|2010|175|1
6|2010|55|1
4|2010|6510000|1
2|2010|113|1
1|2010|8400001|1
2|2010|1090051|1
1|2010|327|1
3|2010|134|1
1|2010|273|1
3|2010|144|1
2|2010|140|1
3|2010|125|1
3|2010|73|1
5|2010|64|1
1|2010|1090|1
1|2010|504|1
1|2010|372|1
1|2010|127|1
1|2010|11800002|1
9|2010|1|1
1|2010|850|1
0|2010|47|1
2|2010|124|1
1|2010|570|1
3|2010|245|1
232|2010|722862|1
1|2010|282|1
1|2010|512|1
2|2010|810|1
9|2010|3|1
2|2010|8000002|1
6|2010|82|1
2|2010|160|1
3|2010|70|1
6|2010|52|1
208|2010|1|1
2|2010|50333|1
4|2010|756|1
169|2010|14|1
4|2010|163|1
2|2010|308|1
2|2010|127|1
2|2010|394837|1
3|2010|80|1
3|2010|53|1
3|2010|153|1
2|2010|197|1
2|2010|222|1
0|2010|29|1
4|2010|175|1
4|2010|211|1
1|2010|770|1
0|2010|27|1
2|2010|192|1
3|2010|184|1
1|2010|6975000|1
3|2010|3618|1
1|2010|260|1
1|2010|15010225|1
6|2010|40|1
3|2010|387|1
1|2010|100005|1
1|2010|509|1
2|2010|2840|1
4|2010|500|1
2|2010|181|1
3|2010|169|1
1|2010|15328400|1
1|2010|1651|1
2|2010|833180|1
3|2010|62|1
1|2010|10100|1
1|2010|28400|1
1|2010|808|1
1|2010|406|1
1|2010|807|1
1|2010|14810000|1
1|2010|13330083|1
2|2010|129|1
4|2010|244|1
6|2010|53|1
3|2010|94|1
3|2010|504|1
4|2010|813|1
1|2010|4375|1
1|2010|213|1
4|2010|57|1
3|2010|8000010|1
1|2010|8000004|1
1|2010|73000|1
4|2010|50000|1
3|2010|105|1
4|2010|182|1
4|2010|191|1
2|2010|164|1
1|2010|701|1
2|2010|74|1
1|2010|1800503|1
2|2010|3008331|1
4|2010|100005|1
2|2010|199|1
3|2010|176|1
2|2010|1311|1
3|2010|9000004|1
1|2010|5053284|1
3|2010|393|1
1|2010|8318000|1
2|2010|67239|1
1|2010|2623|1
7|2010|18|1
3|2010|168|1
5|2010|97|1
2|2010|2252|1
1|2010|8002|1
5|2010|2705490|1
2|2010|194|1
4|2010|102|1
2|2010|2250100|1
1|2010|300833|1
1|2010|601863|1
1|2010|338|1
1|2010|394|1
3|2010|637|1
2|2010|4576|1
2|2010|8000008|1
1|2010|304|1
1|2010|5851800|1
3|2010|7469|1
4|2010|177|1
2|2010|1288|1
1|2010|6016|1
1|2010|1005300|1
65|2010|0|1
25|2010|0|1
1|2010|899305|1
3|2010|139|1
229|2010|3|1
1|2010|3016|1
1|2010|211|1
4|2010|165|1
1|2010|281|1
