passenger_count|pickup_year|COUNT(*)
INT|INT|LONG
0|2010|35640
1|2010|115776104
2|2010|26793219
3|2010|7710551
4|2010|3770213
5|2010|14217357
6|2010|690626
7|2010|4
8|2010|1
9|2010|3
10|2010|3
15|2010|1
25|2010|1
34|2010|1
51|2010|1
58|2010|1
65|2010|1
91|2010|1
125|2010|1
133|2010|1
137|2010|1
141|2010|1
160|2010|1
163|2010|1
169|2010|1
208|2010|603
229|2010|1
232|2010|1
250|2010|2
255|2010|2
0|2011|2547937
1|2011|119969450
2|2011|27132349
3|2011|8015005
4|2011|3819715
5|2011|13876061
6|2011|1536489
7|2011|8
8|2011|2
9|2011|8
10|2011|13
15|2011|1
19|2011|1
33|2011|2
36|2011|1
37|2011|1
47|2011|1
49|2011|26
58|2011|1
61|2011|1
70|2011|1
97|2011|1
129|2011|3
193|2011|1
208|2011|125
211|2011|1
223|2011|1
225|2011|1
250|2011|1
255|2011|1
0|2012|1274858
1|2012|123955714
2|2012|24900623
3|2012|7716364
4|2012|3752549
5|2012|12063339
6|2012|4880708
7|2012|17
8|2012|13
9|2012|25
10|2012|1
65|2012|1
66|2012|1
177|2012|1
208|2012|107
247|2012|1
249|2012|1
254|2012|1
0|2013|10070
1|2013|243919422
2|2013|47034988
3|2013|14631658
4|2013|7164206
5|2013|20069392
6|2013|13529578
7|2013|70
8|2013|50
9|2013|52
129|2013|2
208|2013|26
255|2013|4
0|2014|13004
1|2014|232582708
2|2014|46117902
3|2014|13942650
4|2014|6772206
5|2014|18551696
6|2014|12247790
7|2014|274
8|2014|196
9|2014|254
208|2014|42
