trips.passenger_count|pickup_year|COUNT(*)
INT|INT|LONG
0|2010|35640
0|2011|2547937
0|2012|1274858
0|2013|10070
0|2014|13004
1|2010|115776104
1|2011|119969450
1|2012|123955714
1|2013|243919422
1|2014|232582708
2|2010|26793219
2|2011|27132349
2|2012|24900623
2|2013|47034988
2|2014|46117902
3|2010|7710551
3|2011|8015005
3|2012|7716364
3|2013|14631658
3|2014|13942650
4|2010|3770213
4|2011|3819715
4|2012|3752549
4|2013|7164206
4|2014|6772206
5|2010|14217357
5|2011|13876061
5|2012|12063339
5|2013|20069392
5|2014|18551696
6|2010|690626
6|2011|1536489
6|2012|4880708
6|2013|13529578
6|2014|12247790
7|2010|4
7|2011|8
7|2012|17
7|2013|70
7|2014|274
8|2010|1
8|2011|2
8|2012|13
8|2013|50
8|2014|196
9|2010|3
9|2011|8
9|2012|25
9|2013|52
9|2014|254
10|2010|3
10|2011|13
10|2012|1
15|2010|1
15|2011|1
19|2011|1
25|2010|1
33|2011|2
34|2010|1
36|2011|1
37|2011|1
47|2011|1
49|2011|26
51|2010|1
58|2010|1
58|2011|1
61|2011|1
65|2010|1
65|2012|1
66|2012|1
70|2011|1
91|2010|1
97|2011|1
125|2010|1
129|2011|3
129|2013|2
133|2010|1
137|2010|1
141|2010|1
160|2010|1
163|2010|1
169|2010|1
177|2012|1
193|2011|1
208|2010|603
208|2011|125
208|2012|107
208|2013|26
208|2014|42
211|2011|1
223|2011|1
225|2011|1
229|2010|1
232|2010|1
247|2012|1
249|2012|1
250|2010|2
250|2011|1
254|2012|1
255|2010|2
255|2011|1
255|2013|4
