trips.passenger_count|AVG(total_amount)
INT|DOUBLE
0|10.67491553413891
1|13.71015552887048
2|14.27049509050448
3|13.95882686822277
4|14.06916441778753
5|13.49239712954832
6|14.49178210824444
7|35.88018766756033
8|47.48480916030534
9|42.99652046783625
10|44.39411764705883
15|12.05
19|5
25|7.6
33|8.6
34|16.8
36|61.55
37|14.2
47|9
49|3.246153846153846
51|12.3
58|25.94
61|31.34
65|28.3
66|19.3
70|10.7
91|24.4
97|9.9
125|16.6
129|8.859999999999999
133|10.3
137|59.64
141|18.94
160|15.34
163|15.54
169|56.64
177|17
193|7.5
208|8.898050941306753
211|7
223|9.5
225|16
229|16.35
232|9
247|19.44
249|9.5
250|12.56666666666667
254|6.5
255|21.88142857142858
