trips.passenger_count|pickup_year|distance|the_count
INT|INT|INT|LONG
0|2010|86|1
0|2010|77|1
0|2010|76|1
0|2010|70|1
0|2010|54|1
0|2010|53|1
0|2010|47|1
0|2010|43|1
0|2010|38|1
0|2010|37|2
0|2010|36|2
0|2010|33|1
0|2010|32|1
0|2010|29|1
0|2010|28|1
0|2010|27|1
0|2010|26|3
0|2010|24|2
0|2010|23|3
0|2010|22|2
0|2010|21|5
0|2010|20|8
0|2010|19|8
0|2010|18|3
0|2010|17|10
0|2010|16|13
0|2010|15|17
0|2010|14|20
0|2010|13|30
0|2010|12|58
0|2010|11|118
0|2010|10|109
0|2010|9|100
0|2010|8|108
0|2010|7|207
0|2010|6|418
0|2010|5|643
0|2010|4|831
0|2010|3|1797
0|2010|2|3858
0|2010|1|10264
0|2010|0|16987
0|2011|94|1
0|2011|91|1
0|2011|89|1
0|2011|87|1
0|2011|86|1
0|2011|85|1
0|2011|84|2
0|2011|83|2
0|2011|81|1
0|2011|79|2
0|2011|78|2
0|2011|77|3
0|2011|74|3
0|2011|73|2
0|2011|72|5
0|2011|71|3
0|2011|70|3
0|2011|69|6
0|2011|68|3
0|2011|66|3
0|2011|65|3
0|2011|64|1
0|2011|63|4
0|2011|62|1
0|2011|61|2
0|2011|60|1
0|2011|59|5
0|2011|58|8
0|2011|57|6
0|2011|56|9
0|2011|55|6
0|2011|54|6
0|2011|53|8
0|2011|52|8
0|2011|51|7
0|2011|50|8
0|2011|49|6
0|2011|48|10
0|2011|47|21
0|2011|46|17
0|2011|45|10
0|2011|44|14
0|2011|43|9
0|2011|42|16
0|2011|41|27
0|2011|40|27
0|2011|39|24
0|2011|38|28
0|2011|37|27
0|2011|36|30
0|2011|35|39
0|2011|34|46
0|2011|33|39
0|2011|32|72
0|2011|31|58
0|2011|30|73
0|2011|29|63
0|2011|28|114
0|2011|27|138
0|2011|26|153
0|2011|25|189
0|2011|24|214
0|2011|23|340
0|2011|22|581
0|2011|21|965
0|2011|20|1710
0|2011|19|2574
0|2011|18|3805
0|2011|17|4617
0|2011|16|4541
0|2011|15|3470
0|2011|14|3534
0|2011|13|4422
0|2011|12|6488
0|2011|11|8656
0|2011|10|10974
0|2011|9|13569
0|2011|8|16962
0|2011|7|26703
0|2011|6|43498
0|2011|5|69700
0|2011|4|112552
0|2011|3|211773
0|2011|2|430866
0|2011|1|884997
0|2011|0|679047
0|2012|91|1
0|2012|90|1
0|2012|87|1
0|2012|86|1
0|2012|85|2
0|2012|79|2
0|2012|77|1
0|2012|70|1
0|2012|69|1
0|2012|67|2
0|2012|66|2
0|2012|65|2
0|2012|63|3
0|2012|62|1
0|2012|60|1
0|2012|59|3
0|2012|58|5
0|2012|57|4
0|2012|55|2
0|2012|54|2
0|2012|53|4
0|2012|52|5
0|2012|51|1
0|2012|50|2
0|2012|49|1
0|2012|48|1
0|2012|47|4
0|2012|46|7
0|2012|45|2
0|2012|43|4
0|2012|42|4
0|2012|41|6
0|2012|40|7
0|2012|39|5
0|2012|38|3
0|2012|37|12
0|2012|36|10
0|2012|35|10
0|2012|34|11
0|2012|33|9
0|2012|32|22
0|2012|31|20
0|2012|30|23
0|2012|29|30
0|2012|28|32
0|2012|27|33
0|2012|26|67
0|2012|25|56
0|2012|24|114
0|2012|23|166
0|2012|22|252
0|2012|21|437
0|2012|20|752
0|2012|19|1194
0|2012|18|1825
0|2012|17|2117
0|2012|16|1803
0|2012|15|1703
0|2012|14|1779
0|2012|13|2173
0|2012|12|2975
0|2012|11|4234
0|2012|10|5312
0|2012|9|6649
0|2012|8|8474
0|2012|7|13643
0|2012|6|22254
0|2012|5|35501
0|2012|4|57383
0|2012|3|106997
0|2012|2|216441
0|2012|1|445279
0|2012|0|334972
0|2013|67|2
0|2013|41|2
0|2013|40|2
0|2013|39|2
0|2013|38|2
0|2013|34|4
0|2013|31|6
0|2013|30|2
0|2013|28|4
0|2013|27|2
0|2013|26|2
0|2013|25|8
0|2013|24|2
0|2013|23|10
0|2013|22|12
0|2013|21|8
0|2013|20|8
0|2013|19|12
0|2013|18|18
0|2013|17|46
0|2013|16|16
0|2013|15|16
0|2013|14|22
0|2013|13|16
0|2013|12|20
0|2013|11|26
0|2013|10|32
0|2013|9|22
0|2013|8|32
0|2013|7|38
0|2013|6|48
0|2013|5|78
0|2013|4|102
0|2013|3|90
0|2013|2|102
0|2013|1|228
0|2013|0|9028
0|2014|83|2
0|2014|75|2
0|2014|61|2
0|2014|51|2
0|2014|45|2
0|2014|42|2
0|2014|40|2
0|2014|39|4
0|2014|38|2
0|2014|37|2
0|2014|36|4
0|2014|34|4
0|2014|33|2
0|2014|32|2
0|2014|29|4
0|2014|27|8
0|2014|26|4
0|2014|25|2
0|2014|24|2
0|2014|23|6
0|2014|22|8
0|2014|21|18
0|2014|20|24
0|2014|19|26
0|2014|18|40
0|2014|17|66
0|2014|16|60
0|2014|15|38
0|2014|14|34
0|2014|13|38
0|2014|12|62
0|2014|11|74
0|2014|10|102
0|2014|9|140
0|2014|8|108
0|2014|7|158
0|2014|6|204
0|2014|5|306
0|2014|4|520
0|2014|3|792
0|2014|2|1564
0|2014|1|3278
0|2014|0|5284
1|2010|15328400|1
1|2010|15010225|1
1|2010|14810000|1
1|2010|14328400|1
1|2010|13330083|1
1|2010|11800002|1
1|2010|11800000|3
1|2010|10821306|1
1|2010|10083318|1
1|2010|9700000|1
1|2010|9620100|1
1|2010|9025000|1
1|2010|8400001|1
1|2010|8335700|2
1|2010|8331800|4
1|2010|8323008|1
1|2010|8318000|1
1|2010|8000004|1
1|2010|7000000|2
1|2010|6975000|1
1|2010|6415000|1
1|2010|5851800|1
1|2010|5331800|1
1|2010|5143318|1
1|2010|5083284|1
1|2010|5053284|1
1|2010|5000001|1
1|2010|5000000|3
1|2010|4500000|1
1|2010|3350000|1
1|2010|3318000|2
1|2010|3300833|1
1|2010|3180000|3
1|2010|3008331|8
1|2010|3000000|1
1|2010|2840000|2
1|2010|2789377|1
1|2010|2501000|1
1|2010|2250100|1
1|2010|1800503|1
1|2010|1674581|1
1|2010|1669531|1
1|2010|1666632|1
1|2010|1586819|1
1|2010|1500000|1
1|2010|1200001|1
1|2010|1026750|1
1|2010|1010015|1
1|2010|1005300|1
1|2010|1000000|3
1|2010|930000|1
1|2010|899305|1
1|2010|869555|1
1|2010|833180|1
1|2010|601863|1
1|2010|507331|1
1|2010|500000|2
1|2010|497577|1
1|2010|335550|1
1|2010|300833|1
1|2010|290000|2
1|2010|260050|1
1|2010|250000|1
1|2010|161257|1
1|2010|158501|1
1|2010|146805|1
1|2010|100005|1
1|2010|100000|2
1|2010|96550|1
1|2010|92973|1
1|2010|81331|1
1|2010|81000|2
1|2010|73000|1
1|2010|50732|1
1|2010|50000|1
1|2010|45000|2
1|2010|30083|3
1|2010|28400|1
1|2010|20500|1
1|2010|18876|1
1|2010|10100|1
1|2010|10000|2
1|2010|8008|1
1|2010|8002|1
1|2010|8001|1
1|2010|7996|1
1|2010|6900|1
1|2010|6016|1
1|2010|5013|1
1|2010|5000|1
1|2010|4375|1
1|2010|3016|1
1|2010|3008|6
1|2010|2900|1
1|2010|2840|3
1|2010|2623|1
1|2010|1651|1
1|2010|1302|1
1|2010|1174|1
1|2010|1097|1
1|2010|1090|1
1|2010|920|1
1|2010|850|1
1|2010|825|1
1|2010|820|1
1|2010|808|1
1|2010|807|1
1|2010|806|1
1|2010|803|3
1|2010|802|3
1|2010|801|6
1|2010|800|6
1|2010|770|1
1|2010|756|13
1|2010|725|3
1|2010|709|1
1|2010|703|1
1|2010|702|1
1|2010|701|1
1|2010|690|1
1|2010|663|1
1|2010|661|1
1|2010|657|1
1|2010|604|2
1|2010|601|2
1|2010|600|3
1|2010|570|1
1|2010|549|1
1|2010|535|1
1|2010|530|1
1|2010|512|1
1|2010|511|2
1|2010|509|1
1|2010|508|1
1|2010|506|1
1|2010|505|2
1|2010|504|1
1|2010|503|4
1|2010|502|2
1|2010|501|6
1|2010|500|31
1|2010|425|1
1|2010|415|16
1|2010|410|1
1|2010|409|1
1|2010|408|1
1|2010|406|1
1|2010|405|2
1|2010|404|2
1|2010|403|1
1|2010|402|2
1|2010|401|3
1|2010|400|3
1|2010|395|1
1|2010|394|1
1|2010|372|1
1|2010|368|1
1|2010|364|1
1|2010|353|1
1|2010|349|1
1|2010|347|1
1|2010|341|1
1|2010|339|1
1|2010|338|1
1|2010|337|2
1|2010|335|1
1|2010|332|1
1|2010|327|1
1|2010|324|2
1|2010|322|1
1|2010|321|1
1|2010|316|1
1|2010|310|1
1|2010|309|3
1|2010|306|1
1|2010|304|1
1|2010|303|1
1|2010|302|2
1|2010|301|1
1|2010|300|7
1|2010|299|1
1|2010|295|1
1|2010|292|2
1|2010|291|1
1|2010|290|2
1|2010|287|1
1|2010|284|1
1|2010|283|1
1|2010|282|1
1|2010|281|1
1|2010|279|2
1|2010|275|2
1|2010|273|1
1|2010|268|1
1|2010|265|1
1|2010|264|1
1|2010|263|2
1|2010|262|3
1|2010|260|1
1|2010|256|1
1|2010|252|3
1|2010|249|2
1|2010|248|1
1|2010|247|1
1|2010|244|3
1|2010|242|2
1|2010|240|1
1|2010|235|1
1|2010|234|1
1|2010|233|1
1|2010|232|2
1|2010|229|1
1|2010|228|1
1|2010|225|2
1|2010|222|4
1|2010|221|1
1|2010|220|3
1|2010|219|3
1|2010|217|1
1|2010|216|4
1|2010|215|4
1|2010|214|2
1|2010|213|1
1|2010|212|1
1|2010|211|1
1|2010|210|7
1|2010|209|3
1|2010|208|4
1|2010|207|3
1|2010|206|5
1|2010|205|3
1|2010|204|6
1|2010|203|3
1|2010|202|33
1|2010|201|4
1|2010|200|7
1|2010|199|5
1|2010|198|3
1|2010|197|4
1|2010|196|5
1|2010|195|1
1|2010|194|6
1|2010|193|2
1|2010|192|8
1|2010|191|6
1|2010|190|6
1|2010|189|8
1|2010|188|4
1|2010|187|4
1|2010|186|7
1|2010|185|8
1|2010|184|7
1|2010|183|9
1|2010|182|11
1|2010|181|10
1|2010|180|16
1|2010|179|13
1|2010|178|11
1|2010|177|19
1|2010|176|17
1|2010|175|16
1|2010|174|16
1|2010|173|22
1|2010|172|20
1|2010|171|14
1|2010|170|16
1|2010|169|20
1|2010|168|14
1|2010|167|16
1|2010|166|14
1|2010|165|13
1|2010|164|8
1|2010|163|6
1|2010|162|6
1|2010|161|6
1|2010|160|7
1|2010|159|11
1|2010|158|6
1|2010|157|4
1|2010|156|7
1|2010|155|7
1|2010|154|3
1|2010|153|3
1|2010|152|6
1|2010|151|5
1|2010|150|5
1|2010|149|8
1|2010|148|7
1|2010|147|7
1|2010|146|8
1|2010|145|6
1|2010|144|2
1|2010|143|4
1|2010|142|2
1|2010|141|4
1|2010|140|5
1|2010|139|6
1|2010|138|3
1|2010|137|2
1|2010|136|5
1|2010|135|2
1|2010|134|3
1|2010|133|3
1|2010|132|2
1|2010|131|5
1|2010|130|5
1|2010|129|2
1|2010|127|1
1|2010|126|3
1|2010|125|2
1|2010|124|2
1|2010|122|1
1|2010|121|1
1|2010|120|1
1|2010|119|3
1|2010|118|3
1|2010|116|4
1|2010|115|2
1|2010|114|3
1|2010|113|8
1|2010|112|5
1|2010|111|6
1|2010|110|4
1|2010|109|1
1|2010|108|3
1|2010|107|5
1|2010|106|9
1|2010|105|4
1|2010|104|3
1|2010|103|4
1|2010|102|10
1|2010|101|7
1|2010|100|34
1|2010|99|5
1|2010|98|11
1|2010|97|8
1|2010|96|15
1|2010|95|8
1|2010|94|13
1|2010|93|9
1|2010|92|24
1|2010|91|14
1|2010|90|15
1|2010|89|16
1|2010|88|24
1|2010|87|16
1|2010|86|23
1|2010|85|16
1|2010|84|16
1|2010|83|18
1|2010|82|23
1|2010|81|26
1|2010|80|42
1|2010|79|24
1|2010|78|11
1|2010|77|11
1|2010|76|18
1|2010|75|26
1|2010|74|23
1|2010|73|28
1|2010|72|20
1|2010|71|23
1|2010|70|35
1|2010|69|29
1|2010|68|33
1|2010|67|29
1|2010|66|33
1|2010|65|37
1|2010|64|39
1|2010|63|48
1|2010|62|38
1|2010|61|46
1|2010|60|58
1|2010|59|50
1|2010|58|60
1|2010|57|60
1|2010|56|67
1|2010|55|70
1|2010|54|81
1|2010|53|84
1|2010|52|101
1|2010|51|114
1|2010|50|156
1|2010|49|207
1|2010|48|208
1|2010|47|273
1|2010|46|238
1|2010|45|279
1|2010|44|318
1|2010|43|368
1|2010|42|415
1|2010|41|508
1|2010|40|588
1|2010|39|637
1|2010|38|752
1|2010|37|972
1|2010|36|1260
1|2010|35|1387
1|2010|34|1592
1|2010|33|1598
1|2010|32|1936
1|2010|31|2174
1|2010|30|2540
1|2010|29|3484
1|2010|28|5360
1|2010|27|6301
1|2010|26|7960
1|2010|25|9386
1|2010|24|13180
1|2010|23|21032
1|2010|22|41507
1|2010|21|93605
1|2010|20|147596
1|2010|19|218261
1|2010|18|345811
1|2010|17|460279
1|2010|16|315418
1|2010|15|204681
1|2010|14|209943
1|2010|13|276073
1|2010|12|457712
1|2010|11|733272
1|2010|10|1062150
1|2010|9|1269421
1|2010|8|1284848
1|2010|7|1449738
1|2010|6|2147117
1|2010|5|3385109
1|2010|4|5495131
1|2010|3|10103973
1|2010|2|19930550
1|2010|1|38818356
1|2010|0|27237649
1|2010|-3684408|1
1|2011|100|61
1|2011|99|68
1|2011|98|66
1|2011|97|92
1|2011|96|83
1|2011|95|73
1|2011|94|86
1|2011|93|73
1|2011|92|86
1|2011|91|86
1|2011|90|71
1|2011|89|73
1|2011|88|101
1|2011|87|88
1|2011|86|87
1|2011|85|85
1|2011|84|86
1|2011|83|91
1|2011|82|109
1|2011|81|133
1|2011|80|157
1|2011|79|87
1|2011|78|105
1|2011|77|109
1|2011|76|104
1|2011|75|118
1|2011|74|117
1|2011|73|93
1|2011|72|113
1|2011|71|108
1|2011|70|145
1|2011|69|139
1|2011|68|153
1|2011|67|155
1|2011|66|162
1|2011|65|173
1|2011|64|172
1|2011|63|204
1|2011|62|192
1|2011|61|206
1|2011|60|229
1|2011|59|224
1|2011|58|257
1|2011|57|246
1|2011|56|300
1|2011|55|281
1|2011|54|299
1|2011|53|309
1|2011|52|364
1|2011|51|385
1|2011|50|485
1|2011|49|452
1|2011|48|479
1|2011|47|506
1|2011|46|518
1|2011|45|618
1|2011|44|587
1|2011|43|690
1|2011|42|779
1|2011|41|859
1|2011|40|975
1|2011|39|1131
1|2011|38|1206
1|2011|37|1390
1|2011|36|1703
1|2011|35|1873
1|2011|34|2022
1|2011|33|2281
1|2011|32|2629
1|2011|31|2877
1|2011|30|3413
1|2011|29|4648
1|2011|28|6795
1|2011|27|7800
1|2011|26|9535
1|2011|25|11083
1|2011|24|15115
1|2011|23|22963
1|2011|22|45987
1|2011|21|102572
1|2011|20|162199
1|2011|19|242387
1|2011|18|389074
1|2011|17|516768
1|2011|16|351200
1|2011|15|225352
1|2011|14|222703
1|2011|13|291257
1|2011|12|471704
1|2011|11|756199
1|2011|10|1110417
1|2011|9|1344384
1|2011|8|1366392
1|2011|7|1544484
1|2011|6|2309287
1|2011|5|3630082
1|2011|4|5818627
1|2011|3|10567484
1|2011|2|20538866
1|2011|1|39630835
1|2011|0|28218374
1|2012|100|84
1|2012|99|82
1|2012|98|85
1|2012|97|66
1|2012|96|83
1|2012|95|83
1|2012|94|87
1|2012|93|70
1|2012|92|75
1|2012|91|80
1|2012|90|105
1|2012|89|91
1|2012|88|90
1|2012|87|99
1|2012|86|89
1|2012|85|99
1|2012|84|91
1|2012|83|94
1|2012|82|108
1|2012|81|144
1|2012|80|162
1|2012|79|102
1|2012|78|98
1|2012|77|116
1|2012|76|124
1|2012|75|122
1|2012|74|124
1|2012|73|143
1|2012|72|141
1|2012|71|129
1|2012|70|144
1|2012|69|157
1|2012|68|162
1|2012|67|177
1|2012|66|174
1|2012|65|188
1|2012|64|197
1|2012|63|184
1|2012|62|193
1|2012|61|246
1|2012|60|275
1|2012|59|242
1|2012|58|258
1|2012|57|295
1|2012|56|319
1|2012|55|341
1|2012|54|355
1|2012|53|394
1|2012|52|401
1|2012|51|460
1|2012|50|537
1|2012|49|516
1|2012|48|520
1|2012|47|562
1|2012|46|579
1|2012|45|636
1|2012|44|733
1|2012|43|760
1|2012|42|868
1|2012|41|916
1|2012|40|1140
1|2012|39|1264
1|2012|38|1328
1|2012|37|1567
1|2012|36|1872
1|2012|35|2143
1|2012|34|2359
1|2012|33|2537
1|2012|32|2983
1|2012|31|3236
1|2012|30|3945
1|2012|29|5029
1|2012|28|7559
1|2012|27|8429
1|2012|26|10300
1|2012|25|12102
1|2012|24|16590
1|2012|23|25928
1|2012|22|51776
1|2012|21|113488
1|2012|20|177122
1|2012|19|265745
1|2012|18|434199
1|2012|17|562174
1|2012|16|379783
1|2012|15|249813
1|2012|14|244288
1|2012|13|318361
1|2012|12|515595
1|2012|11|820993
1|2012|10|1189215
1|2012|9|1433076
1|2012|8|1469162
1|2012|7|1669672
1|2012|6|2488758
1|2012|5|3892610
1|2012|4|6204133
1|2012|3|11162238
1|2012|2|21603382
1|2012|1|41163226
1|2012|0|27421739
1|2013|15331800|2
1|2013|15038005|2
1|2013|14680043|2
1|2013|14680016|2
1|2013|14680010|2
1|2013|14505332|2
1|2013|14005103|2
1|2013|13480170|2
1|2013|13005023|2
1|2013|12310051|2
1|2013|12000104|2
1|2013|12000018|2
1|2013|12000002|2
1|2013|11800318|2
1|2013|11800005|2
1|2013|11800001|4
1|2013|11800000|2
1|2013|9005023|2
1|2013|8800004|2
1|2013|8504332|2
1|2013|8331800|4
1|2013|8140050|2
1|2013|8006300|2
1|2013|8005053|2
1|2013|8004700|2
1|2013|8000600|2
1|2013|8000079|2
1|2013|8000052|2
1|2013|8000014|2
1|2013|8000012|2
1|2013|8000011|2
1|2013|8000007|2
1|2013|8000005|2
1|2013|8000004|2
1|2013|8000003|2
1|2013|8000002|2
1|2013|7520502|2
1|2013|7473013|2
1|2013|7436805|2
1|2013|7250033|2
1|2013|7000511|2
1|2013|6900507|2
1|2013|6823007|2
1|2013|6805400|2
1|2013|6800040|2
1|2013|6800006|2
1|2013|6752505|2
1|2013|6752050|2
1|2013|6746929|2
1|2013|6746833|2
1|2013|6746133|2
1|2013|6674681|2
1|2013|6380051|2
1|2013|6331800|2
1|2013|6231800|2
1|2013|6005123|2
1|2013|6000000|2
1|2013|5331800|4
1|2013|5143318|2
1|2013|5133318|2
1|2013|5123318|2
1|2013|5093318|2
1|2013|5073284|2
1|2013|5063318|2
1|2013|5043318|4
1|2013|5033318|2
1|2013|5031800|2
1|2013|5000511|2
1|2013|5000000|4
1|2013|4700507|2
1|2013|4500000|2
1|2013|4203746|2
1|2013|4200180|2
1|2013|4000500|2
1|2013|4000010|2
1|2013|3674720|2
1|2013|3666747|2
1|2013|3331800|2
1|2013|3318000|4
1|2013|3300506|2
1|2013|3284000|2
1|2013|3180000|12
1|2013|3100300|2
1|2013|3008331|2
1|2013|3005013|2
1|2013|2840000|2
1|2013|2600509|2
1|2013|2300000|2
1|2013|2150400|2
1|2013|2100507|2
1|2013|2005023|2
1|2013|1800504|2
1|2013|1700502|2
1|2013|1600000|2
1|2013|1503180|2
1|2013|1466710|2
1|2013|1415002|2
1|2013|1400513|2
1|2013|1332840|2
1|2013|1331800|4
1|2013|1300506|2
1|2013|1231800|2
1|2013|1230083|2
1|2013|1200011|2
1|2013|1000511|2
1|2013|1000000|2
1|2013|950000|2
1|2013|833180|2
1|2013|800005|2
1|2013|800003|2
1|2013|800000|2
1|2013|746807|2
1|2013|733180|2
1|2013|700503|2
1|2013|674687|2
1|2013|667470|2
1|2013|666746|2
1|2013|600501|2
1|2013|600100|2
1|2013|582331|2
1|2013|533180|4
1|2013|515566|2
1|2013|515331|2
1|2013|515328|2
1|2013|514331|2
1|2013|512331|2
1|2013|507331|4
1|2013|501332|2
1|2013|501331|2
1|2013|500501|2
1|2013|500332|2
1|2013|500000|2
1|2013|350050|2
1|2013|350000|2
1|2013|330050|2
1|2013|318116|2
1|2013|318000|10
1|2013|290051|2
1|2013|288703|2
1|2013|250000|2
1|2013|200505|2
