cab_type,pickup_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,pickup_coord,total_amount
1,2014-12-25 16:27:05.0000000,1,0.5,-73.988998,40.736542,POINT (-73.989 40.7365),6
1,2014-12-25 11:06:47.0000000,1,0.80000001,-73.979187,40.750244,POINT (-73.9792 40.7502),6
1,2014-12-25 19:42:50.0000000,1,0.5,-73.991669,40.726406,POINT (-73.9917 40.7264),6
1,2014-12-25 15:08:30.0000000,1,0.60000002,-73.971947,40.787273,POINT (-73.9719 40.7873),6
1,2014-12-25 12:36:13.0000000,1,0.69999999,-73.972931,40.761501,POINT (-73.9729 40.7615),6
1,2014-12-25 19:11:40.0000000,1,0.69999999,-73.992218,40.725056,POINT (-73.9922 40.7251),6
1,2014-12-25 14:44:22.0000000,1,0.5,-73.952621,40.778343,POINT (-73.9526 40.7783),6
1,2014-12-24 15:52:42.0000000,1,0.5,-73.996819,40.747459,POINT (-73.9968 40.7475),6
1,2014-12-26 11:30:35.0000000,1,0.69999999,-73.988869,40.777645,POINT (-73.9889 40.7776),6
1,2014-12-26 06:04:21.0000000,1,0.80000001,-73.965965,40.758469,POINT (-73.966 40.7585),6
1,2014-12-26 06:19:17.0000000,1,0.80000001,-73.990974,40.755932,POINT (-73.991 40.7559),6
1,2014-12-25 16:30:11.0000000,1,0.5,-73.981903,40.74818,POINT (-73.9819 40.7482),6
1,2014-12-25 11:35:20.0000000,1,0.80000001,-73.977692,40.738247,POINT (-73.9777 40.7382),6
1,2014-12-25 15:06:35.0000000,1,0.69999999,-73.969536,40.753475,POINT (-73.9695 40.7535),6
1,2014-12-25 18:34:51.0000000,1,0.60000002,-73.992096,40.738064,POINT (-73.9921 40.7381),6
1,2014-12-25 13:42:18.0000000,1,0.80000001,-73.975853,40.786716,POINT (-73.9759 40.7867),6
1,2014-12-25 14:30:52.0000000,1,0.80000001,-73.98671,40.751678,POINT (-73.9867 40.7517),6
1,2014-12-25 11:33:52.0000000,1,0.80000001,-73.985687,40.778557,POINT (-73.9857 40.7786),6
1,2014-12-25 15:01:46.0000000,1,0.60000002,-73.996498,40.737289,POINT (-73.9965 40.7373),6
1,2014-12-25 12:48:59.0000000,1,0.69999999,-73.993011,40.729637,POINT (-73.993 40.7296),6
1,2014-12-26 12:46:29.0000000,1,0.80000001,-73.967613,40.768761,POINT (-73.9676 40.7688),6
1,2014-12-25 14:13:08.0000000,1,0.80000001,0,0,POINT (0 0),6
1,2014-12-25 09:34:24.0000000,1,0.5,-73.984215,40.780647,POINT (-73.9842 40.7806),6
1,2014-12-25 06:26:47.0000000,1,0.69999999,-73.982292,40.751984,POINT (-73.9823 40.752),6
1,2014-12-24 13:22:05.0000000,1,0.30000001,-73.999847,40.751553,POINT (-73.9998 40.7516),6
1,2014-12-25 12:27:02.0000000,1,0.69999999,-73.944954,40.779053,POINT (-73.945 40.7791),6
1,2014-12-25 15:30:34.0000000,1,0.5,-74.00145,40.725143,POINT (-74.0014 40.7251),6
1,2014-12-25 11:43:03.0000000,1,0.5,-73.999214,40.73481,POINT (-73.9992 40.7348),6
1,2014-12-25 16:05:43.0000000,1,0.69999999,-73.978462,40.782967,POINT (-73.9785 40.783),6
1,2014-12-25 16:55:55.0000000,1,0.60000002,-73.957108,40.766388,POINT (-73.9571 40.7664),6
1,2014-12-24 12:10:39.0000000,1,0.80000001,-73.957573,40.773602,POINT (-73.9576 40.7736),6
1,2014-12-24 09:39:16.0000000,1,0.60000002,-73.996719,40.742123,POINT (-73.9967 40.7421),6
1,2014-12-25 09:06:25.0000000,1,0.80000001,-73.979538,40.772465,POINT (-73.9795 40.7725),6
1,2014-12-25 11:51:57.0000000,1,0.80000001,-73.985107,40.768677,POINT (-73.9851 40.7687),6
1,2014-12-25 10:55:17.0000000,1,0.60000002,-73.971733,40.794876,POINT (-73.9717 40.7949),6
1,2014-12-25 14:20:44.0000000,1,0.60000002,-73.950294,40.777206,POINT (-73.9503 40.7772),6
1,2014-12-25 13:20:04.0000000,1,0.80000001,0,0,POINT (0 0),6
1,2014-12-25 10:03:04.0000000,1,0.60000002,-73.968475,40.787525,POINT (-73.9685 40.7875),6
1,2014-12-25 10:15:06.0000000,1,0.60000002,-73.947701,40.778549,POINT (-73.9477 40.7785),6
1,2014-12-26 09:58:58.0000000,1,0.60000002,-73.98201,40.768764,POINT (-73.982 40.7688),6
1,2014-12-25 17:31:24.0000000,1,0.69999999,-73.985947,40.747475,POINT (-73.9859 40.7475),6
1,2014-12-26 08:39:58.0000000,1,0.69999999,-73.987068,40.760906,POINT (-73.9871 40.7609),6
1,2014-12-25 09:35:57.0000000,1,0.80000001,-74.000099,40.743122,POINT (-74.0001 40.7431),6
1,2014-12-24 08:37:10.0000000,1,0.40000001,-73.982872,40.77692,POINT (-73.9829 40.7769),6
1,2014-12-25 17:24:07.0000000,1,0.69999999,-73.955208,40.777321,POINT (-73.9552 40.7773),6
1,2014-12-26 11:06:08.0000000,1,0.5,-73.975082,40.752392,POINT (-73.9751 40.7524),6
1,2014-12-25 11:03:01.0000000,1,0.69999999,-73.988892,40.774433,POINT (-73.9889 40.7744),6
1,2014-12-25 09:48:48.0000000,1,0.69999999,-73.969582,40.75206,POINT (-73.9696 40.7521),6
1,2014-12-25 12:58:51.0000000,1,0.69999999,-73.962402,40.77644,POINT (-73.9624 40.7764),6
1,2014-12-24 12:17:50.0000000,1,0.40000001,-73.961243,40.764858,POINT (-73.9612 40.7649),6
1,2014-12-25 12:05:07.0000000,1,0.80000001,-73.958382,40.778847,POINT (-73.9584 40.7788),6
1,2014-12-25 09:37:16.0000000,1,0.69999999,-73.991562,40.744106,POINT (-73.9916 40.7441),6
1,2014-12-25 19:16:25.0000000,1,0.5,-73.981911,40.766624,POINT (-73.9819 40.7666),6
1,2014-12-25 08:56:15.0000000,1,0.69999999,-73.967674,40.755947,POINT (-73.9677 40.7559),6
1,2014-12-25 11:50:23.0000000,1,0.69999999,-73.949783,40.78059,POINT (-73.9498 40.7806),6
1,2014-12-26 10:50:18.0000000,1,0.80000001,-73.982361,40.769726,POINT (-73.9824 40.7697),6
1,2014-12-25 11:45:58.0000000,1,0.69999999,-74.000092,40.748055,POINT (-74.0001 40.7481),6
1,2014-12-25 08:39:45.0000000,1,0.69999999,-73.967224,40.756889,POINT (-73.9672 40.7569),6
1,2014-12-25 14:43:12.0000000,1,0.5,-73.950211,40.779957,POINT (-73.9502 40.78),6
1,2014-12-26 07:48:28.0000000,1,0.80000001,-73.982353,40.774712,POINT (-73.9824 40.7747),6
1,2014-12-26 07:29:26.0000000,1,0.89999998,-73.980568,40.742481,POINT (-73.9806 40.7425),6
1,2014-12-26 07:43:12.0000000,1,0.69999999,0,0,POINT (0 0),6
1,2014-12-25 07:00:30.0000000,1,1,-73.974052,40.751495,POINT (-73.9741 40.7515),6
1,2014-12-25 12:56:48.0000000,1,0.80000001,-74.006851,40.730267,POINT (-74.0069 40.7303),6
1,2014-12-26 15:13:37.0000000,1,0.69999999,-74.006157,40.734524,POINT (-74.0062 40.7345),6
1,2014-12-26 13:38:19.0000000,1,0.60000002,-73.995193,40.744995,POINT (-73.9952 40.745),6
1,2014-12-25 10:26:07.0000000,1,0.69999999,-73.97377,40.752434,POINT (-73.9738 40.7524),6
1,2014-12-25 06:57:20.0000000,1,0.80000001,-73.955833,40.779228,POINT (-73.9558 40.7792),6
1,2014-12-24 14:07:01.0000000,1,0.5,-73.973587,40.763035,POINT (-73.9736 40.763),6
1,2014-12-24 12:44:59.0000000,1,0.40000001,-73.990372,40.734146,POINT (-73.9904 40.7341),6
1,2014-12-25 06:37:51.0000000,1,0.60000002,-73.966248,40.764698,POINT (-73.9662 40.7647),6
1,2014-12-25 11:09:21.0000000,1,0.60000002,-73.916336,40.762276,POINT (-73.9163 40.7623),6
1,2014-12-26 14:50:27.0000000,1,0.80000001,-73.985634,40.747063,POINT (-73.9856 40.7471),6
1,2014-12-25 11:08:51.0000000,1,0.60000002,-73.987663,40.72279,POINT (-73.9877 40.7228),6
1,2014-12-25 12:43:50.0000000,1,0.5,-73.962921,40.777977,POINT (-73.9629 40.778),6
1,2014-12-25 10:52:00.0000000,1,0.69999999,-73.954842,40.789272,POINT (-73.9548 40.7893),6
1,2014-12-25 13:15:36.0000000,1,0.60000002,-73.980858,40.747555,POINT (-73.9809 40.7476),6
1,2014-12-25 15:59:58.0000000,1,0.60000002,-73.960838,40.772453,POINT (-73.9608 40.7725),6
1,2014-12-25 14:18:17.0000000,1,0.80000001,-73.973862,40.764736,POINT (-73.9739 40.7647),6
1,2014-12-26 10:10:17.0000000,1,0.69999999,-73.962013,40.75584,POINT (-73.962 40.7558),6
1,2014-12-26 10:34:42.0000000,1,0.60000002,-73.990662,40.746197,POINT (-73.9907 40.7462),6
1,2014-12-25 14:02:34.0000000,1,0.89999998,-73.964844,40.755657,POINT (-73.9648 40.7557),6
1,2014-12-26 11:33:59.0000000,1,0.5,-73.984505,40.779671,POINT (-73.9845 40.7797),6
1,2014-12-25 09:29:57.0000000,1,0.69999999,-73.992134,40.743172,POINT (-73.9921 40.7432),6
1,2014-12-25 09:00:56.0000000,1,0.60000002,-73.983116,40.738533,POINT (-73.9831 40.7385),6
1,2014-12-25 17:14:19.0000000,1,0.69999999,-73.961662,40.768475,POINT (-73.9617 40.7685),6
1,2014-12-25 10:03:15.0000000,1,0.60000002,-73.980659,40.748276,POINT (-73.9807 40.7483),6
1,2014-12-26 14:14:52.0000000,1,0.5,-73.964615,40.764477,POINT (-73.9646 40.7645),6
1,2014-12-25 13:45:10.0000000,1,0.5,-73.956413,40.771469,POINT (-73.9564 40.7715),6
1,2014-12-25 17:45:06.0000000,1,0.60000002,-73.980835,40.76965,POINT (-73.9808 40.7696),6
1,2014-12-24 09:22:59.0000000,1,0.69999999,-73.995956,40.725269,POINT (-73.996 40.7253),6
1,2014-12-25 19:32:50.0000000,1,0.69999999,-74.007736,40.740673,POINT (-74.0077 40.7407),6
1,2014-12-25 13:16:53.0000000,1,1,-73.977661,40.742531,POINT (-73.9777 40.7425),6
1,2014-12-25 13:44:41.0000000,1,0.69999999,-73.996185,40.743393,POINT (-73.9962 40.7434),6
